pubmed_ids,drugbank_id,uniprot_id
17604186,DB01419,P35354
17521299,DB01419,P35354
17612049,DB01419,P35354
17532719,DB01419,P35354
11752352,DB01419,P35354
11695253,DB01435,P35354
17139284,DB01600,P35354
17016423,DB01600,P35354
2277128,DB01600,P35354
11752352,DB01600,P35354
17139284,DB01628,P35354
17016423,DB01628,P35354
17164136,DB01628,P35354
17573128,DB01628,P35354
17691997,DB01628,P35354
11752352,DB01628,P35354
7864817,DB02266,P35354
11752352,DB02709,P35354
10592235,DB03477,P35354
10592235,DB03866,P35354
16301791,DB04552,P35354
17485303,DB04552,P35354
17098211,DB04552,P35354
17015640,DB04725,P35354
11752352,DB04743,P35354
16846549,DB04743,P35354
15481993,DB05095,P35354
17335184,DB05095,P35354
17548088,DB05804,P35354
16585602,DB05875,P35354
20926798,DB05875,P35354
16432508,DB05875,P35354
20399943,DB06725,P35354
10450786,DB06725,P35354
17516707,DB06725,P35354
11846620,DB06725,P35354
10850857,DB06802,P35354
21241401,DB06804,P35354
22910791,DB08819,P35354
17308870,DB08910,P35354
18701766,DB00006,P05164
16443167,DB00062,P05164
16125131,DB00062,P05164
10929949,DB00104,P05164
11020872,DB00104,P05164
19515014,DB00208,P05164
2563347,DB00233,P05164
16614956,DB00233,P05164
17503181,DB00244,P05164
19515014,DB00250,P05164
10503773,DB00461,P05164
6266970,DB00500,P05164
19818462,DB00515,P05164
14745844,DB00515,P05164
8133056,DB00535,P05164
2159305,DB00550,P05164
6096612,DB00550,P05164
17070108,DB00550,P05164
2837228,DB00550,P05164
16130180,DB00583,P05164
11675909,DB00833,P05164
2852004,DB00847,P05164
8381104,DB00847,P05164
2829860,DB00847,P05164
18237195,DB01065,P05164
15636586,DB01065,P05164
19049846,DB01225,P05164
12928540,DB02300,P05164
16679384,DB04821,P05164
8941558,DB04827,P05164
9049140,DB05161,P05164
16809153,DB00007,P30968
10687850,DB00007,P30968
9625809,DB00007,P30968
15758569,DB00007,P30968
10394541,DB00007,P30968
20053189,DB00014,P30968
11854630,DB00050,P30968
12606421,DB00050,P30968
14561652,DB00050,P30968
14605254,DB00050,P30968
16809153,DB00050,P30968
11752352,DB00050,P30968
16985933,DB00106,P30968
15967801,DB00644,P30968
16962597,DB00644,P30968
16973761,DB00644,P30968
17002488,DB00644,P30968
17068198,DB00644,P30968
11752352,DB00644,P30968
2137975,DB00666,P30968
